City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
315,warrnambool,-38.3833,142.4833,15.27,83,98,14.16,AU,1724947741
316,glubokoye,50.1456,82.3114,10.86,82,99,1.0,KZ,1724947742
317,cockburn town,21.4612,-71.1419,28.68,79,24,7.86,TC,1724947743
318,marka,1.7159,44.7717,24.94,86,14,6.25,SO,1724947744
319,yoloten,37.2989,62.3597,24.26,26,0,5.11,TM,1724947746
320,ust-nera,64.5667,143.2,4.2,100,100,1.86,RU,1724947747
321,qarazhal,48.0078,70.7903,19.79,34,1,2.25,KZ,1724947628
322,al hufuf,25.3646,49.5653,40.19,13,13,7.2,SA,1724947749
323,zuunmod,47.7069,106.9528,8.57,84,0,1.0,MN,1724947750
324,lamu,-2.2717,40.902,24.8,82,34,6.9,KE,1724947752
325,vilyuchinsk,52.9306,158.4028,11.15,83,99,1.56,RU,1724947753
326,happy valley-goose bay,53.3168,-60.3315,15.78,40,18,4.43,CA,1724947754
327,badger,64.8,-147.5333,10.14,95,75,2.57,US,1724947755
328,vangviang,18.9333,102.45,21.98,98,95,0.81,LA,1724947756
329,al ghayzah,16.2079,52.176,26.2,82,19,6.36,YE,1724947757
330,bethanie,-26.4833,17.15,19.77,18,0,5.99,NA,1724947758
331,praia da vitoria,38.7333,-27.0667,23.18,69,100,2.0,PT,1724947759
332,sitka,57.0531,-135.33,12.94,82,100,4.12,US,1724947761
333,dezhou,37.4486,116.2925,23.29,80,0,2.3,CN,1724947763
334,remire-montjoly,4.9167,-52.2667,25.02,94,75,2.06,GF,1724947496
335,namibe,-15.1961,12.1522,19.75,80,14,5.0,AO,1724947766
336,santa terezinha,-29.9002,-50.0904,15.95,80,99,2.25,BR,1724947767
337,kendari,-3.945,122.4989,23.59,87,79,1.1,ID,1724947768
338,torres,-29.3353,-49.7269,18.26,72,69,3.13,BR,1724947769
339,lata,40.1629,-8.3327,27.49,51,2,4.93,PT,1724947770
340,kingston,17.997,-76.7936,32.87,64,5,2.31,JM,1724947722
341,rebola,3.7167,8.8333,23.61,83,99,3.58,GQ,1724947772
342,chateaudun,48.0833,1.3333,24.51,51,100,2.79,FR,1724947484
343,betio village,1.358,172.9211,29.02,79,100,7.0,KI,1724947774
344,langepas,61.2544,75.2124,12.67,85,100,5.61,RU,1724947776
345,juan griego,11.0817,-63.9655,36.07,52,53,4.63,VE,1724947777
346,jerseyville,39.12,-90.3285,31.9,61,50,2.75,US,1724947778
347,naha,26.2125,127.6811,29.95,90,20,6.69,JP,1724947779
348,abilene,32.4487,-99.7331,28.59,61,20,4.63,US,1724947549
349,avarua,-21.2078,-159.775,23.03,78,100,2.06,CK,1724947781
350,saint-georges,12.0564,-61.7485,28.63,79,32,3.44,GD,1724947782
351,bubaque,11.2833,-15.8333,27.09,79,100,4.24,GW,1724947783
352,isoka,-10.1606,32.6335,25.33,28,76,2.49,ZM,1724947784
353,humberto de campos,-2.5983,-43.4611,36.91,28,63,0.58,BR,1724947785
354,arraial do cabo,-22.9661,-42.0278,24.98,53,0,7.2,BR,1724947553
355,regina,50.4501,-104.6178,11.69,90,75,4.02,CA,1724947514
356,djibouti,11.5,42.5,34.56,36,91,5.64,DJ,1724947788
357,la passe,45.5549,-0.8967,22.5,70,100,0.98,FR,1724947789
358,las tablas,7.7667,-80.2833,29.19,74,100,5.07,PA,1724947791
359,aban,56.67,96.06,10.91,93,35,0.75,RU,1724947792
